"City","longitude","latitude","PM10","WS"
"ABADAN  ","48.5454","30.2458","267.1454","70.169967708422"
"AHWAZ ","48.545","31.245","89.003694814873","17.5408656582"
"ALESHTAR        ","48.2454","33.548","39.4121","8.2961900794673"
"AMOL    ","52.8976","36.2154","113.58268993885","25.614913679271"
"ARAK    ","49.9055","34.04454","124.8071031093","29.749658580063"
"ARDEBIL ","48.004154","38.54564","137.59979619552","31.988178155859"
"ARDESTAN        ","52.05445","33.054","62.28527023099","10.281311754956"
"ASTARA  ","48.564","38.245","80.794797647469","14.791514691965"
"BABOLSAR        ","52.1456","36.12564","125.2157","29.935190261579"
"BAFGH   ","55.05458","31.2146","112.70686801851","24.881773596469"
"BAFT    ","56.9441","29.0444","153.94961050114","36.537851028402"
"BAM     ","58.21654","29.4449","109.35950274203","24.733540917142"
"BANDAR  ABASS","56.9105","27.054","97.228299582582","20.282643823422"
"BANDAR  ANZALI","49.28004","37.474","171.13894699116","41.35251667076"
"BANDAR  DAIER","51.254605","27.54121","119.30848676902","28.112076925288"
"BANDAR  DAYLAM","50.65054","30.054","129.42611511077","30.244557947202"
"BANDAR  LENGEH","54.05454","26.05646","175.91667457021","45.550137777993"
"BANDAR  MAHSHAHR","49.264","30.05448","175.42734010724","45.507933909546"
"BEHBAHAN        ","50.015","30.264","247.457","60.825834894631"
"BIARJAMAND      ","55.0546","36.355","245.5457","52.922914107733"
"BIJAR   ","47.054","35.6126","102.51496494859","23.465578601973"
"BIRJAND ","59.02154","32.21564","132.36771084943","31.831874889834"
"BONAB   ","46.9841","37.0564","72.537893095625","12.590182770403"
"BOROOJEN        ","51.56465","31.985","240.545","51.733541813979"
"BOSHROOYEH      ","57.2164","33.54871","139.27944921316","33.361998705231"
"BOSTAN  ","48.14489","31.5368","172.7525","42.33611254746"
"BROUJERD        ","48.2644","33.0564","155.76616778628","38.992455036212"
"BUSHEHR ","50.14404","28.05467","86.173066355221","16.019054129125"
"CHAHBAHAR       ","60.0544","25.141","77.129132711106","13.832187658801"
"DARAB   ","54.054","28.05405","49.447","8.9725864394249"
"DEZFUL  ","48.892","32.05491","113.95744179552","26.770082554395"
"ESFAHAN ","51.05454","32.8112","121.86132928113","28.382064197635"
"ESLAMABAD       ","46.0548","34.05784","246.481","59.447686859855"
"FASSA   ","53.815105","28.80054","137.73001133923","32.758451281902"
"GHAZVIN ","50.8054","36.7054","164.52656598","39.979502319459"
"GHOM    ","50.908472","34.71054","155.0911958296","37.782574815197"
"GORGAN  ","54.81321","36.0544718","225.1548","46.125524971339"
"ILAM              ","46.5494","33.9412","29.564","6.2273668005926"
"IRANSHAHR         ","60.0564","27.0564","246.1547","55.265300168839"
"IZEH              ","49.0544","31.054","272.547","74.991343966453"
"JAZIREH ABOMOOSA","54.05649","25.90254","146.74696738839","36.134917191192"
"JOLFA             ","45.9412","38.05879","120.32179096451","28.180647350453"
"KARAJ             ","50.879105","35.05489","178.7525","45.977640738432"
"KASHAN            ","51.218","33.871056","173.74202138029","44.267706512247"
"KERMAN            ","56.98721","30.70126","144.24144194832","35.581661138886"
"KERMANSHAH","47.0145","34.0564","69.480151336286","10.466937996157"
"MASHHAD ","59.14","36.0871","239.2114","51.126162201283"
"NEYSHABOOR      ","58.1584","36.0554","158.59001438496","39.870327442059"
"OMIDIYEH(AGHAJARI)","49.2314","30.4354","108.50828195453","24.650042609859"
"RAFSANJAN         ","55.6944","30","131.10630505129","30.264789744984"
"RAMHORMOZ         ","49.2164","31.054158","245.5484","54.712278550869"
"RAMSAR  ","50.21564","36.461","164.90053779021","40.223077062855"
"RAMSAR            ","50.0556","36.154405","262.6885","65.18643000817"
"RASHT             ","49.161","37.1544","226.247","47.629143333399"
"SANANDAJ          ","47.8131","35.001514","154.92557361162","36.729343434608"
"SARI              ","53.05415","36.15405","143.70722045287","34.075368550746"
"SAVEH             ","50.4879","35.98414","137.75876570228","32.769124258215"
"SEMNAN  ","53.156","35.89741","169.36999155884","40.524683358307"
"SHAHROUD          ","54.721589","36.821214","131.36621113051","30.799208948315"
"SHIRAZ            ","52.47891","29.7239","97.027316852579","20.11849063209"
"SIRJAN            ","55.910654","29.90244","246.2787","57.101605163442"
"TABRIZ            ","46.354005","38.1548","142.30508643384","33.739284756452"
"TAFRESH           ","50.24","34.05448","124.69327581149","29.094434425583"
"TAKAB             ","47.0544","36.164","85.677896169159","15.706317402546"
"TEHRAN MEHRABAD","51.940005","35.01014","233.67007","48.523804117757"
"TORBATE HEYDARIEH","59.947025","35.18005","108.18038162632","23.506839618925"
"TORBATE JAM","60.05548","35.2164","177.23858883247","45.692166914667"
"YASOUJ            ","51.5464","30.14564","90.165959097256","19.971711609794"
"YAZD              ","54.48418","31.058469","153.19229410452","36.187905809508"
"ZABOL             ","61.6145","31.15487","148.66980209851","36.155571497109"
"ZAHEDAN           ","60.974","29.89471","128.05485895442","29.981120441614"
"ZANJAN            ","48","36.1454","282.244","77.580748798559"
